MATERNO,MAR,BAJA,ADMISION-Información Consultas 1,78501,928308501
MATERNO,MAR,BAJA,ADMISION-Propuestas 1,78502,928308502
MATERNO,MAR,BAJA,ADMISION-Jefatura Grupo CC.EE.,78503,928308503
MATERNO,MAR,BAJA,ADMISION-Citación 1º Visita - 1,78504,928308504
MATERNO,CENTRAL,SOT1,AREA DE GESTION DE LA CALIDAD-Atención al Usuario HUMIC. Despacho 1,78505,928308505
MATERNO,CENTRAL,SOT1,AREA DE GESTION DE LA CALIDAD-Trabajador Social 1,78507,928308507
MATERNO,CENTRAL,SOT1,AREA DE GESTION DE LA CALIDAD-Atención al Usuario HUMIC. Supervisión,78508,928308508
MATERNO,CENTRAL,SOT1,AREA DE GESTION DE LA CALIDAD-Unidad de Traslados 1,78509,928308509
MATERNO,CENTRAL,SOT1,AREA DE GESTION DE LA CALIDAD-Unidad de Traslados 2,78510,928308510
MATERNO,MAR,BAJA,SERVICIOS GENERALES-Celadores Hall Principal,78511,928308511
MATERNO,CENTRAL,SOT1,CAFETERIA-Cafetería de Personal,78512,928308512
MATERNO,CENTRAL,SOT1,ADMISION-Ingresos Hospitalarios 1,78513,928308513
MATERNO,CENTRAL,SOT1,ADMISION-Ingresos Hospitalarios 2,78514,928308514
MATERNO,CENTRAL,SOT1,ADMISION-Ingresos Hospitalarios 3,78515,928308515
MATERNO,CENTRAL,SOT1,ADMISION-Jefe de Servicio,78516,928308516
MATERNO,CENTRAL,SOT1,ADMISION-Lista de Espera 1,78517,928308517
MATERNO,CENTRAL,SOT1,ADMISION-Lista de Espera 2,78518,928308518
MATERNO,CENTRAL,SOT1,ADMISION-Lista de Espera 3,78519,928308519
MATERNO,CENTRAL,SOT1,ADMISION-Lista de Espera 4,78520,928308520
MATERNO,MAR,SOT2,ARCHIVOS-Control Mesa 1,78521,928308521
MATERNO,MAR,SOT2,ARCHIVOS-Control Mesa 2,78522,928308522
MATERNO,MAR,SOT2,ARCHIVOS-Control Planta Hospitalización 1,78523,928308523
MATERNO,MAR,SOT2,ARCHIVOS-Control Planta Hospitalización 2,78524,928308524
MATERNO,MAR,SOT2,ARCHIVOS-Fichero Maestro,78525,928308525
MATERNO,MAR,SOT2,ARCHIVOS-Despacho  Jefe de Grupo,78526,928308526
MATERNO,MAR,SOT2,ARCHIVOS-Control Planta Hospitalización 3,78527,928308527
MATERNO,MAR,SOT2,ARCHIVOS-Trabajo Administrativo-1,78528,928308528
MATERNO,MAR,SOT2,ARCHIVOS-Trabajo Administrativo-2,78529,928308529
MATERNO,MAR,SOT2,ARCHIVOS-Codificación-6,78530,928308530
MATERNO,MAR,SOT2,CODIFICACION-Codificación-1,78531,928308531
MATERNO,MAR,SOT2,CODIFICACION-Codificación-2,78532,928308532
MATERNO,MAR,SOT2,CODIFICACION-Codificación-3,78533,928308533
MATERNO,MAR,SOT2,CODIFICACION-Codificación-4-Jefa de Servicio,78534,928308534
MATERNO,MAR,SOT2,CODIFICACION-Codificación-5,78535,928308535
MATERNO,MAR,SOT2,BIBLIOTECA-Auxiliar administrativo,78536,928308536
